sorting_algos,random_array,asc_array,alm_asc_array,desc_array,dense_array,sparse_array
bubble_sort, 7743.272305, 4268.947760, 4581.530333, 11216.537476, 7749.461015, 7709.365606
cocktail_sort, 6778.038263, 343.696356, 347.762028, 11509.871642, 6873.319149, 6996.776263
comb_sort, 36.463658, 32.867432, 28.450966, 34.212828, 27.543465, 37.985643
selection_sort, 2745.279312, 2765.155315, 2913.571358, 2888.279597, 2812.143803, 2765.580654
double_selection_sort, 2339.028756, 2427.088896, 2410.048246, 2329.129616, 2466.977040, 2336.126169
insertion_sort, 3501.659711, 171.904643, 187.186639, 6745.141904, 3596.447150, 3481.217305
shell_sort, 40.325562, 33.832709, 35.825729, 35.661538, 38.520257, 47.296206
gnome_sort, 9742.843310, 480.897109, 494.379918, 19562.448502, 9893.309514, 9804.919402
merge_sort, 41.660229, 41.669846, 47.430674, 45.844714, 48.856258, 36.483208
quick_sort2, 20.844460, 145.865281, 156.250795, 121.321678, 29.869318, 20.835797
heap_sort1, 41.662772, 31.255484, 42.860508, 39.086580, 32.571872, 36.462386
counting_sort, 5.208890, 15.615702, 0.000000, 4.010995, 5.206903, 26.046276
bucket_sort, 15.637000, 31.272093, 36.467075, 29.467821, 15.629609, 15.614351
radix_sort, 15.626113, 15.617291, 15.613715, 16.593218, 15.616496, 15.647650
sorted, 0.000000, 0.000000, 0.000000, 0.679255, 5.217155, 10.416269
